album,track_number,id,name,uri,key,mode,danceability,energy,loudness,tempo,valence,popularity
Joy Kick! Tears,1,7tRPWw5cZWAdO5riPwCVb3,Majisuka Rock N' Roll,spotify:track:7tRPWw5cZWAdO5riPwCVb3,8,1,0.502,0.991,-2.983,142.048,0.84,32
Joy Kick! Tears,2,3HxoJguWFd6D4LWF5jzVmE,Teacher Teacher,spotify:track:3HxoJguWFd6D4LWF5jzVmE,10,1,0.686,0.948,-3.435,129.957,0.767,35
Joy Kick! Tears,3,7sai84Cj9TN7gYLlRWRwQQ,Kalender Yang Dipercepat - Hayaokuri Calendar,spotify:track:7sai84Cj9TN7gYLlRWRwQQ,4,1,0.411,0.906,-2.878,179.955,0.702,34
Joy Kick! Tears,4,13oaV7tD9TVHoOdIRBhc4w,Fajar Sang Idola - Idol No Yoake,spotify:track:13oaV7tD9TVHoOdIRBhc4w,11,1,0.635,0.884,-2.944,124.033,0.715,33
Joy Kick! Tears,5,10uNiSxVXijceTffGej9Dk,Back Hip Circle - Saka Agari,spotify:track:10uNiSxVXijceTffGej9Dk,7,1,0.539,0.897,-3.818,123.957,0.605,33
Joy Kick! Tears,6,5n5Wto3wvc4Yg4xebxO3Mq,Tunas Di Balik Seragam - Seifuku No Me,spotify:track:5n5Wto3wvc4Yg4xebxO3Mq,11,0,0.421,0.983,-2.787,173.991,0.603,33
Joy Kick! Tears,7,3iaL0HtrrRu9LmYmIbYUB0,Kereta Kedewasaan - Otona Ressha,spotify:track:3iaL0HtrrRu9LmYmIbYUB0,8,1,0.444,0.978,-2.588,147.956,0.326,36
Joy Kick! Tears,8,2VM68adZOMrmDf7HJh7wkc,"Bersama Kamu, Pelangi Dan Mentari - Kimi To Niji To Taiyou To",spotify:track:2VM68adZOMrmDf7HJh7wkc,8,1,0.379,0.974,-2.426,162.92,0.649,39
B.E.L.I.E.V.E,1,3sQaBImqLeK8L4GFiQWzUl,Karena Kau Ada Untuk Diriku - Anata ga Ite Kureta Kara,spotify:track:3sQaBImqLeK8L4GFiQWzUl,0,1,0.527,0.686,-5.669,141.908,0.473,31
B.E.L.I.E.V.E,2,6geJN9KVRrXVeHZl0yQqLd,Gonna Jump,spotify:track:6geJN9KVRrXVeHZl0yQqLd,4,1,0.409,0.862,-3.562,180.114,0.588,29
B.E.L.I.E.V.E,3,7F1ZdIPrwLZSq3itbs0lsI,Adrenalin Masa Puber - Shishunki no Adrenaline,spotify:track:7F1ZdIPrwLZSq3itbs0lsI,11,0,0.5,0.819,-5.671,164.0,0.75,20
B.E.L.I.E.V.E,4,7kltYcL98SxjDvjuLZfNHP,Salah Dengar Rock - Soramimi Rock,spotify:track:7kltYcL98SxjDvjuLZfNHP,0,1,0.562,0.873,-4.461,97.53,0.544,30
B.E.L.I.E.V.E,5,6lZR2OLVo2nIPni1NSh4vx,Waiting Room,spotify:track:6lZR2OLVo2nIPni1NSh4vx,0,1,0.54,0.811,-5.049,150.048,0.717,22
B.E.L.I.E.V.E,6,2NkHtHJSMUuY2ZsxmRNMTy,Di Tempat Yang Jauh pun - Tooku Ni Itemo,spotify:track:2NkHtHJSMUuY2ZsxmRNMTy,2,1,0.61,0.363,-7.96,136.105,0.363,31
B.E.L.I.E.V.E,7,4kPEk3ienNJ02lTlvtCL5Q,Bel Sekolah Adalah Love Song - Chime wa Love Song,spotify:track:4kPEk3ienNJ02lTlvtCL5Q,7,1,0.446,0.882,-5.376,175.035,0.586,32
B.E.L.I.E.V.E,8,3bNveOxxboAilqY4i706w1,Mammoth,spotify:track:3bNveOxxboAilqY4i706w1,8,0,0.667,0.862,-6.731,115.91,0.796,20
B.E.L.I.E.V.E,9,4o2Jw5e1EPkprQUesHN8cU,Kapasitas Ikan Migrasi - Kaiyuugyou no Capacity,spotify:track:4o2Jw5e1EPkprQUesHN8cU,0,0,0.604,0.873,-5.36,142.007,0.686,21
B.E.L.I.E.V.E,10,2KRmeaNVuCDzF718ApmNhl,Sekarang Sedang Jatuh Cinta - Tadaima Renaichuu,spotify:track:2KRmeaNVuCDzF718ApmNhl,6,1,0.598,0.94,-5.506,165.971,0.914,22
B.E.L.I.E.V.E,11,5OD11BaxH5fxJwOpqjwrB8,Love Chase,spotify:track:5OD11BaxH5fxJwOpqjwrB8,3,0,0.48,0.803,-7.0,176.023,0.493,18
B.E.L.I.E.V.E,12,3WH3u5XrprpwHC1v5oxXYJ,Luar Biasa - Saikou Kayo,spotify:track:3WH3u5XrprpwHC1v5oxXYJ,4,1,0.405,0.951,-4.001,180.03,0.442,25
B.E.L.I.E.V.E,13,5NC7RB1WVyZsyRZUlZr7WQ,Hanya Lihat Ke Depan - Mae Shika Mukanee,spotify:track:5NC7RB1WVyZsyRZUlZr7WQ,0,1,0.608,0.763,-5.611,107.525,0.751,32
Mahagita - Kamikyokutachi,1,7nxYbf6VSOgmFij1qUocNs,365 Nichi No Kamihikouki - Pesawat Kertas 365 Hari,spotify:track:7nxYbf6VSOgmFij1qUocNs,7,1,0.57,0.801,-3.938,106.042,0.504,35
Mahagita - Kamikyokutachi,2,7IiIgdIqw3VowMiMcLF5wI,Sakurairo No Sora No Shita De - Dibawah Langit Berwarna Sakura,spotify:track:7IiIgdIqw3VowMiMcLF5wI,4,0,0.538,0.619,-5.294,163.971,0.64,25
Mahagita - Kamikyokutachi,3,5UEK5Kps66jX1DpeSydmbN,River,spotify:track:5UEK5Kps66jX1DpeSydmbN,7,1,0.658,0.886,-2.464,106.502,0.652,40
Mahagita - Kamikyokutachi,4,0OJIIw8NiKaomNKd7BCJPZ,Fortune Cookie Yang Mencinta,spotify:track:0OJIIw8NiKaomNKd7BCJPZ,2,1,0.713,0.962,-2.796,122.017,0.784,44
Mahagita - Kamikyokutachi,5,72HzXd4kZUGpVwkKMX8xRp,Refrain Penuh Harapan,spotify:track:72HzXd4kZUGpVwkKMX8xRp,4,1,0.465,0.934,-2.812,161.072,0.502,34
Mahagita - Kamikyokutachi,6,2kbeVQv4BM9FD7F3vmtzZO,"Maafkan, Summer",spotify:track:2kbeVQv4BM9FD7F3vmtzZO,7,1,0.506,0.929,-3.023,148.03,0.6,31
Mahagita - Kamikyokutachi,7,4JMV9PsclsFDTh4qEL6801,First Rabbit,spotify:track:4JMV9PsclsFDTh4qEL6801,8,1,0.392,0.919,-4.294,167.997,0.435,36
Mahagita - Kamikyokutachi,8,7cKvZDPk8BvZAiQLZMwvNF,Hikoukigumo - Jejak Awan Pesawat,spotify:track:7cKvZDPk8BvZAiQLZMwvNF,5,1,0.495,0.908,-1.894,146.008,0.605,29
Mahagita - Kamikyokutachi,9,6dxEfxEFWE95EhEjyxB9cQ,Shoujotachiyo - Gadis Remaja,spotify:track:6dxEfxEFWE95EhEjyxB9cQ,5,1,0.481,0.957,-3.03,158.019,0.784,28
Mahagita - Kamikyokutachi,10,5K3LEOFHYXxmAk1ZeUISiK,Shonichi - Hari Pertama,spotify:track:5K3LEOFHYXxmAk1ZeUISiK,6,1,0.551,0.925,-3.009,147.991,0.651,30
Mahagita - Kamikyokutachi,11,7GR5a8XOgdkFv4XUPYCQ5B,Only Today,spotify:track:7GR5a8XOgdkFv4XUPYCQ5B,4,1,0.562,0.918,-2.727,82.034,0.697,39
Mahagita - Kamikyokutachi,12,14Sw7KxK53AvJ3BEU6qtdz,1!2!3!4! Yoroshiku!,spotify:track:14Sw7KxK53AvJ3BEU6qtdz,2,1,0.661,0.97,-2.397,137.023,0.486,26
Mahagita - Kamikyokutachi,13,05XOYjSvcc6hny3m86lE5R,Iiwake Maybe - Alasanku Maybe,spotify:track:05XOYjSvcc6hny3m86lE5R,7,1,0.416,0.973,-2.47,160.012,0.304,27
Mahagita - Kamikyokutachi,14,1YQiSM1Iea2muIr5u53bvX,Seishun No Laptime - Laptime Masa Remaja,spotify:track:1YQiSM1Iea2muIr5u53bvX,0,1,0.413,0.946,-3.034,173.039,0.428,26
Mahagita - Kamikyokutachi,15,1mFEJj8zSXm6XkuTiUUcDD,Ame No Doubutsuen - Kebun Binatang Saat Hujan,spotify:track:1mFEJj8zSXm6XkuTiUUcDD,2,1,0.599,0.895,-3.55,99.999,0.709,26
Boku No Taiyou (Matahari Milikku),1,413nWFoRTS0Orgb75S2asT,Overture,spotify:track:413nWFoRTS0Orgb75S2asT,10,1,0.628,0.936,-4.08,134.884,0.465,17
Boku No Taiyou (Matahari Milikku),2,1vjBWmyaR3VgdMjQU0HzS8,Dreamin' Girls,spotify:track:1vjBWmyaR3VgdMjQU0HzS8,11,1,0.851,0.693,-6.139,128.038,0.966,21
Boku No Taiyou (Matahari Milikku),3,2SaX1OSDkYQQSuNlTU0dqc,RUN RUN RUN,spotify:track:2SaX1OSDkYQQSuNlTU0dqc,1,0,0.639,0.843,-4.527,149.931,0.624,29
Boku No Taiyou (Matahari Milikku),4,4zDfKhwV9qatkcjNYOkYXa,Mirai No Kajitsu - Buah Masa Depan,spotify:track:4zDfKhwV9qatkcjNYOkYXa,5,0,0.646,0.949,-4.429,126.091,0.593,23
Boku No Taiyou (Matahari Milikku),5,4e6hPXh5dmkdHmNr994g0c,Viva! Hurricane,spotify:track:4e6hPXh5dmkdHmNr994g0c,10,1,0.663,0.967,-3.732,132.035,0.547,21
Boku No Taiyou (Matahari Milikku),6,3mVNPzfCXSCSh7JIRqrw7t,Idol Nante Yobanaide - Jangan Panggil Diriku Idol,spotify:track:3mVNPzfCXSCSh7JIRqrw7t,5,0,0.545,0.867,-7.028,132.002,0.806,20
Boku No Taiyou (Matahari Milikku),7,6fc1Q867gaVVkEQ1rWdk9i,"Boku To Juliette To Jet Coaster - Aku, Juliette Dan Jet Coaster",spotify:track:6fc1Q867gaVVkEQ1rWdk9i,4,0,0.577,0.925,-7.524,155.04,0.921,20
Boku No Taiyou (Matahari Milikku),8,5BhZIIR7nmmWdOTMxtLeYd,Higurashi No Koi - Cinta Higurashi,spotify:track:5BhZIIR7nmmWdOTMxtLeYd,2,1,0.627,0.87,-6.657,99.995,0.781,28
Boku No Taiyou (Matahari Milikku),9,0bBvE3Ct9vatzJ2eMo4F5R,Itoshisa No Defense - Pertahanan Akan Cinta,spotify:track:0bBvE3Ct9vatzJ2eMo4F5R,10,0,0.587,0.704,-6.985,93.004,0.419,19
Boku No Taiyou (Matahari Milikku),10,0OKCowanREgTytzxNfIuCq,Himawari - Bunga Matahari,spotify:track:0OKCowanREgTytzxNfIuCq,10,1,0.604,0.894,-4.755,118.025,0.553,33
Boku No Taiyou (Matahari Milikku),11,6B2eVQ7pJXDBE4Lck8UkLN,Takeuchi Senpai - Kakak Kelasku,spotify:track:6B2eVQ7pJXDBE4Lck8UkLN,5,0,0.717,0.677,-5.633,138.02,0.55,20
Boku No Taiyou (Matahari Milikku),12,30suYyIAuRU7xqnwQO2DJw,Sonna Konna Wake De - Dengan Berbagai Alasan,spotify:track:30suYyIAuRU7xqnwQO2DJw,3,0,0.586,0.835,-3.898,147.021,0.725,18
Boku No Taiyou (Matahari Milikku),13,3MsX9LrtytfGJoteMxZv26,Deja vu,spotify:track:3MsX9LrtytfGJoteMxZv26,6,0,0.617,0.861,-5.537,137.51,0.644,18
Boku No Taiyou (Matahari Milikku),14,2bDJw0DgID7EKjsRePR2sz,Yuuhi Wo Miteiruka - Apakah Kau Melihat Mentari Senja?,spotify:track:2bDJw0DgID7EKjsRePR2sz,0,1,0.571,0.8,-6.785,91.978,0.427,26
Boku No Taiyou (Matahari Milikku),15,5AepZKXbU8UYlswwRZI5cP,Lay Down,spotify:track:5AepZKXbU8UYlswwRZI5cP,0,1,0.607,0.863,-5.407,120.002,0.746,18
Boku No Taiyou (Matahari Milikku),16,0LJzOJI5qUwja93b9KBuD9,BINGO!,spotify:track:0LJzOJI5qUwja93b9KBuD9,4,0,0.534,0.827,-5.021,149.998,0.589,32
Boku No Taiyou (Matahari Milikku),17,4iEO86GitxFgut3TSDbQaK,Boku No Taiyou - Matahari Milikku,spotify:track:4iEO86GitxFgut3TSDbQaK,0,1,0.511,0.902,-5.417,137.37,0.456,29
Boku No Taiyou (Matahari Milikku),3,63jnyRAqHphSJdsFclSiFb,Run Run Run,spotify:track:63jnyRAqHphSJdsFclSiFb,1,0,0.639,0.843,-4.527,149.931,0.624,5
Boku No Taiyou (Matahari Milikku),12,4KaUPtah2p8Kufp82SI36G,Deja Vu,spotify:track:4KaUPtah2p8Kufp82SI36G,6,0,0.617,0.861,-5.537,137.51,0.644,3
Boku No Taiyou (Matahari Milikku),15,2Xn5ohHDmFc5qu0PvN5SUD,Bingo!,spotify:track:2Xn5ohHDmFc5qu0PvN5SUD,4,0,0.534,0.827,-5.021,149.998,0.589,10
Renai Kinshi Jourei (Aturan Anti Cinta),2,5CTiUNBByJLsTMamOP5se3,Nagai Hikari - Cahaya Panjang,spotify:track:5CTiUNBByJLsTMamOP5se3,5,0,0.543,0.846,-6.863,140.013,0.362,30
Renai Kinshi Jourei (Aturan Anti Cinta),3,6T9uMBvgt4DARig98HzMOs,Squall No Aida Ni - Di Tengah Hujan Badai Tiba,spotify:track:6T9uMBvgt4DARig98HzMOs,1,0,0.522,0.854,-5.851,92.002,0.57,31
Renai Kinshi Jourei (Aturan Anti Cinta),4,7utw0EfBgKUu01BKozK92K,Jk Nemurihime - Gadis Sma Putri Tidur,spotify:track:7utw0EfBgKUu01BKozK92K,9,1,0.514,0.778,-6.264,149.975,0.613,20
Renai Kinshi Jourei (Aturan Anti Cinta),5,4cLfBC3HSEqCehV55ArzR3,Kimi Ni Au Tabi Koi Wo Suru - Jatuh Cinta Setiap Bertemu,spotify:track:4cLfBC3HSEqCehV55ArzR3,8,1,0.651,0.864,-4.717,140.033,0.754,23
Renai Kinshi Jourei (Aturan Anti Cinta),6,69TjdWtKR5xIaj49eMyuUl,Kuroi Tenshi - Malaikat Hitam,spotify:track:69TjdWtKR5xIaj49eMyuUl,3,0,0.56,0.797,-6.032,145.997,0.47,21
Renai Kinshi Jourei (Aturan Anti Cinta),7,2NIxEfzIOfRjnIuAhMz1iq,Heart Gata Virus - Virus Tipe Hati,spotify:track:2NIxEfzIOfRjnIuAhMz1iq,2,1,0.52,0.868,-6.707,163.131,0.855,30
Renai Kinshi Jourei (Aturan Anti Cinta),8,5VrNhex0lxQ38ban5RCREY,Renai Kinshi Jourei - Aturan Anti Cinta,spotify:track:5VrNhex0lxQ38ban5RCREY,1,0,0.618,0.941,-6.309,116.007,0.902,22
Renai Kinshi Jourei (Aturan Anti Cinta),9,6xnyutrWTNTp4TtK5tv876,Tsundere!,spotify:track:6xnyutrWTNTp4TtK5tv876,4,0,0.538,0.919,-5.153,153.977,0.715,21
Renai Kinshi Jourei (Aturan Anti Cinta),10,58dI0Ug0vKXlD6tChyF0Z1,Manatsu No Christmas Rose - Mawar Natal Musim Panas,spotify:track:58dI0Ug0vKXlD6tChyF0Z1,7,1,0.586,0.807,-5.703,139.981,0.828,21
Renai Kinshi Jourei (Aturan Anti Cinta),11,6QUkRsEuTyjxRNSmUAkSEX,Switch,spotify:track:6QUkRsEuTyjxRNSmUAkSEX,9,0,0.61,0.761,-7.625,133.009,0.571,18
Renai Kinshi Jourei (Aturan Anti Cinta),12,0oAaDH8YmcOElSYATrrTZT,109 - Marukyuu,spotify:track:0oAaDH8YmcOElSYATrrTZT,8,0,0.511,0.807,-5.324,156.076,0.747,20
Renai Kinshi Jourei (Aturan Anti Cinta),14,49DTSQGK0BiNkcustpM3C5,Ano Koro No Sneakers - Sneakers Waktu Itu,spotify:track:49DTSQGK0BiNkcustpM3C5,7,1,0.547,0.62,-6.617,105.012,0.525,20
Renai Kinshi Jourei (Aturan Anti Cinta),15,3vVDOvVqTbP8jc2Oi1P6T6,JKT Sanjou! - JKT Datang!,spotify:track:3vVDOvVqTbP8jc2Oi1P6T6,6,1,0.426,0.925,-4.824,160.145,0.756,23
Renai Kinshi Jourei (Aturan Anti Cinta),16,3wKNeLEhGvTHDy36LIKt3b,Namida No Shinkokyuu - Napas Dalam Air Mata,spotify:track:3wKNeLEhGvTHDy36LIKt3b,3,0,0.513,0.866,-5.923,134.974,0.646,18
