name,artist,uri,key,mode,danceability,energy,loudness,tempo,valence,popularity
Intro,Hivi!,spotify:track:3oey6dFQToT5rQfuLNsWgX,5,1,0.259,0.328,-12.385,79.616,0.16,37
Merakit Perahu,Hivi!,spotify:track:2opadtKGBFWBwpId765qax,0,1,0.609,0.71,-6.741,116.004,0.597,42
Sama Sama Tahu,Hivi!,spotify:track:1YItjabUny9Muy1xSA7mZo,2,0,0.683,0.835,-4.371,127.488,0.795,45
Gadis Sampul,Hivi!,spotify:track:7A3c5EZzk1XHlpzuRU3nGB,4,1,0.718,0.56,-8.314,89.995,0.932,48
Apa Adanya,Hivi!,spotify:track:5Vl1IWmW8JiyH9dwwxIct6,2,1,0.464,0.524,-7.192,199.691,0.642,44
Remaja,Hivi!,spotify:track:1SaQZoFXNu7ZAxxKImzFgf,9,1,0.623,0.439,-7.737,122.862,0.695,68
Pelangi,Hivi!,spotify:track:5BgZ1bi8xeWVxmg12RfWzv,8,0,0.549,0.256,-8.804,97.781,0.178,62
Kereta Kencan,Hivi!,spotify:track:0ibNB0ddusp5eJVnBJnMMu,2,1,0.667,0.93,-3.647,125.963,0.685,50
Siapkah Kau 'Tuk Jatuh Cinta Lagi,Hivi!,spotify:track:5ktkcnEDkrybwz7XEWjQV9,7,1,0.632,0.705,-5.666,141.948,0.9,63
Mata Ke Hati (Acoustic Version),Hivi!,spotify:track:5eF8Hn5AHY4qT3aZsVYAzO,0,1,0.871,0.522,-5.601,123.991,0.887,63
Siapkah Kau 'Tuk Jatuh Cinta Lagi,Hivi!,spotify:track:1SbpxkBg8DnkbTDgflkf6w,0,1,0.689,0.252,-12.215,130.024,0.426,63
Bestari,Vidi Aldiano,spotify:track:5a081u6mzYZPMvM6cgjcLP,0,1,0.447,0.755,-4.365,202.048,0.617,14
Definisi Bahagia,Vidi Aldiano,spotify:track:5loz3ROvQidTmEkEA2L92C,1,0,0.653,0.841,-3.816,120.009,0.843,25
Hingga Nanti,Vidi Aldiano,spotify:track:1Qc5lfUFxWb35m6SxvUMiM,3,1,0.586,0.513,-5.639,105.924,0.261,30
Terbenar,Vidi Aldiano,spotify:track:1r2nH6hnyC0avQmThhk0Om,2,0,0.709,0.411,-5.991,94.978,0.942,23
Membiasakan Cinta,Vidi Aldiano,spotify:track:6j599DLsOkgethP9SGFQgb,9,0,0.635,0.814,-4.591,114.956,0.713,18
Salah,Vidi Aldiano,spotify:track:6zMFk6mWDHwJ2drHFYbiP4,0,1,0.726,0.827,-4.552,118.01,0.828,14
Kau,Vidi Aldiano,spotify:track:7FB7BrBH0iVU9zpmKFC6IM,11,0,0.555,0.687,-4.69,89.041,0.486,21
Tak Bisa Bersama,Vidi Aldiano,spotify:track:6PaDlOtsT1vO7nZWcgWWaB,4,0,0.373,0.417,-7.286,139.776,0.31,17
Aku Cinta Dia,Vidi Aldiano,spotify:track:2TfZATPfeVvqfwYsi6FNfE,11,0,0.619,0.573,-4.536,149.081,0.675,26
Kamu,Nadhira,spotify:track:6hoMPUbJ2r3jf6IIWGApDE,7,1,0.406,0.547,-6.027,83.813,0.218,9
Terburu Cinta,Angel Pieters,spotify:track:4b7ac6cQuG8eFJCJyhS7JH,11,0,0.527,0.842,-4.813,189.825,0.898,19
SIM - Surat Izin Mencinta,Bastian Steel,spotify:track:4koZtTOtBDtrKCBORvKqch,0,1,0.664,0.66,-6.304,78.012,0.909,20
Ini Pilihanku,Bastian Steel,spotify:track:1KgylOSexbRfgOMSqmDDZI,10,0,0.691,0.828,-6.098,103.028,0.792,11
Pena,Rio Febrian,spotify:track:5c0l4JQIWj6JQrj1epVtAf,5,1,0.284,0.504,-5.608,171.304,0.434,14
Tersenyumlah,Alit Jiwandana,spotify:track:49xrRsSuFKRvzdRErqW8om,11,1,0.681,0.713,-9.254,94.99,0.836,6
Tamasya Sendiri,Alit Jiwandana,spotify:track:11eNdRAYDAQSgV9LMnTCKZ,3,0,0.554,0.531,-7.306,120.032,0.355,3
Arloji,Maudy Ayunda,spotify:track:3P9Of1awwmdYAZoveFkjZa,9,1,0.667,0.598,-6.601,98.98,0.45,29
Hanya Engkau Yang Bisa,Armand Maulana,spotify:track:07z2NYfyv6sMHHEln7Nkpv,5,1,0.659,0.787,-5.862,99.532,0.758,30
Sebelah Mata,Armand Maulana,spotify:track:4yjl5gbs8JNTe1p1wfYhaN,2,1,0.61,0.525,-7.026,178.024,0.609,39
Luar Biasa,Stereo NET.,spotify:track:5TX14VUKSKPPHcXbrw9F92,8,1,0.632,0.708,-5.361,128.006,0.635,12
Mesin Waktu,Natasha Chairani,spotify:track:1jKBmv9OyBse8nBY3k7Ouh,0,1,0.473,0.823,-5.504,167.776,0.463,10
Menghilang,Andira,spotify:track:1dMs2Xy8QHDOUoHOYTj2Gx,2,1,0.558,0.507,-6.339,102.961,0.363,36
Cinta Tak Sengaja,Danajazzy,spotify:track:6QmLnJG46TWgSUPTOfnsp9,4,0,0.685,0.808,-4.596,112.045,0.701,11
Masih Disini,Judika,spotify:track:1vNXQTtxTUJAIqy443qDTv,8,1,0.622,0.907,-4.058,111.044,0.537,38
Ulang Tahun,Olivola,spotify:track:2jiaqOfhRKvh90IJcckE4O,1,1,0.621,0.578,-10.352,172.866,0.916,9
Curi Hatiku,Soul Sisters,spotify:track:5kEsp8kIwZlibkvCRDSpEX,4,0,0.811,0.89,-5.572,114.945,0.939,10
Hanya Untukmu,B Force,spotify:track:3bnWsWczMdimtN8mZrctDy,2,0,0.637,0.821,-6.768,150.032,0.807,10
Hingga Nanti - Acapella Version,Vidi Aldiano,spotify:track:4MpnPjYMYnfBAmsvNRrkwm,0,0,0.316,0.233,-8.597,82.432,0.344,14
Didekat Mu,Arash Buana,spotify:track:5Vj5t36ORjX5oYCnatrga0,4,1,0.718,0.2,-15.137,95.021,0.616,16
Wahai Kau Tuan,Widi Mulia,spotify:track:5Yn2BwkJCWSg4XDwVb7ouY,2,1,0.586,0.695,-7.601,84.957,0.694,29
Hingga,Barry Item,spotify:track:4Sn293PFE5T7seeH6uE4YV,7,1,0.689,0.419,-7.532,105.939,0.566,20
Pelita,Andien,spotify:track:0uF9aVctggTQclybqCRW4U,11,0,0.66,0.39,-8.284,113.761,0.428,19
Putih Abu,Nadhira,spotify:track:1GnrrQ2DDSoeI4Gf7y0L44,2,0,0.672,0.526,-9.1,109.981,0.883,11
Tak Pernah Salah,Lalahuta,spotify:track:0gPE70JFhy6udIwpyG5ikw,11,0,0.482,0.751,-6.542,164.007,0.71,52
Tunggu Apa Lagi,Lalahuta,spotify:track:4cNN6wJ563ohBHEuYM1x8M,7,1,0.415,0.675,-4.787,80.894,0.7,61
Jangan,Marion Jola,spotify:track:0hXshgMyFiHVNlnSzMikGn,0,1,0.416,0.673,-5.283,94.999,0.758,62
So In Love,Marion Jola,spotify:track:6e7sDmprgdLKpSTkphoUnr,9,0,0.691,0.598,-6.818,89.992,0.497,45
Dream High (Asian Para Games 2018 Official Song),Sheryl Sheinafia,spotify:track:5v0QMkHVWPXMeK4NrHmeF1,10,0,0.68,0.698,-5.156,86.979,0.874,22
Tak Sejalan,Vidi Aldiano,spotify:track:3gTog0cdYrDyALMb70hSgC,5,1,0.563,0.593,-8.639,92.128,0.583,33
Tak Bisa Teruskan,Nafa Urbach,spotify:track:4o8gRuqVznisbzhxKgPvIO,11,1,0.598,0.407,-6.471,99.912,0.383,9
Menari,Rizky Febian,spotify:track:6erCzA5JDtU8oLVVpS4FTt,0,1,0.567,0.59,-7.95,111.952,0.501,57
Hanya Engkau,Rizky Febian,spotify:track:2H1TMwzfrhGwoWDLSTpDbL,11,0,0.709,0.759,-4.578,125.021,0.535,44
Keseriusan,Rizky Febian,spotify:track:3NtpBIIpCSzbLaz8gZ9oQM,7,1,0.501,0.671,-7.07,166.091,0.7,44
Bahasa Cinta,Rizky Febian,spotify:track:6B4EIPlHG5FxiILDyZJOEt,6,1,0.391,0.697,-5.658,76.233,0.602,39
Balada Insan Muda,Diskoria,spotify:track:7rt1ze8gO84v4k9vBvb7JB,9,0,0.626,0.811,-5.479,113.925,0.691,46
Duduk Sendiri,Kiki Juliar,spotify:track:5YnJjcGwYz58W2J3hgF7nE,5,0,0.339,0.382,-6.23,139.593,0.13,9
Pergi Menjauh,Marion Jola,spotify:track:0BVwV7T1IklwT3EtB29UsM,9,1,0.575,0.346,-8.499,87.996,0.203,58
Bukan Cintaku,Ahmad Abdul,spotify:track:5RUQoPWGwJdWKnEh3rjjLL,4,1,0.456,0.425,-7.756,162.031,0.334,47
Terambang,Vidi Aldiano,spotify:track:179KHOINESnuB5nqIxUl01,1,1,0.491,0.506,-6.703,81.682,0.415,36
